Word,Frequency,IDF,Score
altas,12,3.079,0.80746
anomal,12,3.079,0.80746
enfoque,12,3.079,0.80746
inercia,12,3.079,0.80746
ajuste,12,3.079,0.80746
emp,12,3.079,0.80746
rica,12,3.079,0.80746
todas,12,3.079,0.80746
estacional,12,3.079,0.80746
pra,12,3.079,0.80746
espec,12,3.079,0.80746
umbral,12,3.079,0.80746
aumento,12,3.079,0.80746
zonas,12,3.079,0.80746
ndicec,12,3.079,0.80746
reduccio,12,3.079,0.80746
muestran,12,3.079,0.80746
patro,12,3.079,0.80746
applications,25,1.47,0.80302
estimating,25,1.47,0.80302
threshold,25,1.47,0.80302
iii,25,1.47,0.80302
predictor,25,1.47,0.80302
close,32,1.134,0.79259
estimated,28,1.288,0.78783
respect,28,1.288,0.78783
generating,28,1.288,0.78783
valued,15,2.386,0.78214
converges,15,2.386,0.78214
display,24,1.47,0.7709
pipeline,24,1.47,0.7709
often,31,1.134,0.76782
applied,31,1.134,0.76782
samples,35,1.0,0.76478
problems,27,1.288,0.75969
loss,27,1.288,0.75969
terms,34,1.0,0.74293
rolling,11,3.079,0.74017
association,11,3.079,0.74017
unitary,11,3.079,0.74017
impactos,11,3.079,0.74017
tensoriales,11,3.079,0.74017
gicas,11,3.079,0.74017
nycaracterizacio,11,3.079,0.74017
literatura,11,3.079,0.74017
promedio,11,3.079,0.74017
captura,11,3.079,0.74017
estudios,11,3.079,0.74017
metodolo,11,3.079,0.74017
geogra,11,3.079,0.74017
carga,11,3.079,0.74017
consistencia,11,3.079,0.74017
modelado,11,3.079,0.74017
estructura,11,3.079,0.74017
partir,11,3.079,0.74017
patrones,11,3.079,0.74017
mapeo,11,3.079,0.74017
cuantiles,11,3.079,0.74017
permite,11,3.079,0.74017
simulta,11,3.079,0.74017
correlacio,11,3.079,0.74017
capacidad,11,3.079,0.74017
ola,11,3.079,0.74017
completa,11,3.079,0.74017
limpieza,11,3.079,0.74017
lidas,11,3.079,0.74017
infeasible,11,3.079,0.74017
bandwidths,11,3.079,0.74017
words,20,1.693,0.73993
scientific,20,1.693,0.73993
valid,20,1.693,0.73993
stations,20,1.693,0.73993
joint,23,1.47,0.73878
embeddings,17,1.981,0.7358
graph,26,1.288,0.73156
structural,26,1.288,0.73156
optimality,14,2.386,0.72999
priors,14,2.386,0.72999
therein,14,2.386,0.72999
original,29,1.134,0.71829
among,29,1.134,0.71829
product,29,1.134,0.71829
temperature,29,1.134,0.71829
interpretation,22,1.47,0.70666
nonlinear,22,1.47,0.70666
framework,25,1.288,0.70342
obtain,25,1.288,0.70342
next,25,1.288,0.70342
employed,25,1.288,0.70342
smoothing,19,1.693,0.70293
iterations,19,1.693,0.70293
consistent,28,1.134,0.69352
squares,16,1.981,0.69252
turns,16,1.981,0.69252
covariates,13,2.386,0.67785
equivalence,13,2.386,0.67785
elementary,13,2.386,0.67785
much,31,1.0,0.67737
provided,31,1.0,0.67737
learning,24,1.288,0.67528
distributed,24,1.288,0.67528
completely,24,1.288,0.67528
run,21,1.47,0.67453
cortex,10,3.079,0.67288
betweenness,10,3.079,0.67288
manifold,10,3.079,0.67288
serial,10,3.079,0.67288
resting,10,3.079,0.67288
minimizer,10,3.079,0.67288
ndesesgoclima,10,3.079,0.67288
estre,10,3.079,0.67288
tiempo,10,3.079,0.67288
escenarios,10,3.079,0.67288
calidad,10,3.079,0.67288
largo,10,3.079,0.67288
cambios,10,3.079,0.67288
grados,10,3.079,0.67288
futuros,10,3.079,0.67288
extremo,10,3.079,0.67288
intensidad,10,3.079,0.67288
percentil,10,3.079,0.67288
utiliza,10,3.079,0.67288
entrenamiento,10,3.079,0.67288
